ID,Year,Month,Desconocido,Male,Female,Sin establecer,Total
200401,2004,1,0,454,189,0,643
200402,2004,2,0,910,491,0,1401
200403,2004,3,0,1838,1267,0,3105
200404,2004,4,0,8437,7117,0,15554
200405,2004,5,0,9778,7082,0,16860
200406,2004,6,0,11223,8072,0,19295
200407,2004,7,0,17096,14795,0,31891
200408,2004,8,0,25014,20587,0,45601
200409,2004,9,0,12737,10015,0,22752
200410,2004,10,0,8337,6219,0,14556
200411,2004,11,0,2454,1956,0,4410
200412,2004,12,0,2105,1697,0,3802
200501,2005,1,0,196,73,0,269
201101,2011,1,0,437,207,0,644
201709,2017,9,0,20172,22017,0,42189
201801,2018,1,0,1046,581,0,1627
201802,2018,2,0,1332,849,0,2181
201803,2018,3,0,5736,5320,0,11056
201804,2018,4,0,10766,11302,0,22068
201805,2018,5,0,19846,20819,0,40665
201806,2018,6,0,22743,22942,0,45685
201807,2018,7,0,24835,26032,0,50867
201808,2018,8,0,30448,29967,0,60415
201809,2018,9,0,22353,24653,0,47006
201810,2018,10,0,17484,18118,0,35602
201811,2018,11,0,4307,3344,0,7651
201812,2018,12,0,1644,909,0,2553
201901,2019,1,0,1088,563,0,1651
201902,2019,2,0,1245,874,0,2119
201903,2019,3,0,3922,3552,0,7474
201904,2019,4,0,15209,16513,0,31722
201905,2019,5,0,22508,24165,0,46673
201906,2019,6,0,24339,24719,0,49058
201907,2019,7,0,25778,27541,0,53319
201908,2019,8,0,31357,31457,0,62814
201909,2019,9,0,20746,24907,0,45653
201910,2019,10,0,17316,18802,0,36118
201911,2019,11,0,4589,3685,0,8274
201912,2019,12,0,1685,1025,0,2710
202001,2020,1,0,1236,765,0,2001
202002,2020,2,0,1835,1241,0,3076
202003,2020,3,0,1062,886,0,1948
202006,2020,6,0,9,3,0,12
202007,2020,7,0,5400,4352,0,9752
202008,2020,8,0,10599,9213,0,19812
202009,2020,9,0,5838,4603,0,10441
202010,2020,10,0,3816,2602,0,6418
202011,2020,11,0,371,214,0,585
202012,2020,12,0,55,44,0,99
202101,2021,1,0,45,15,0,60
202102,2021,2,0,10,4,0,14
202103,2021,3,0,105,89,0,194
202104,2021,4,0,486,538,0,1024
202105,2021,5,0,2155,2140,0,4295
202106,2021,6,0,7809,7015,0,14824
202107,2021,7,0,16499,17464,0,33963
202108,2021,8,0,21313,22262,0,43575
202109,2021,9,1,18727,18735,0,37463
202110,2021,10,0,16241,14929,0,31170
202111,2021,11,0,4857,4237,0,9094
202112,2021,12,0,678,515,0,1193
202201,2022,1,0,917,700,0,1617
202202,2022,2,0,1166,868,0,2034
202203,2022,3,0,3896,3493,0,7389
202204,2022,4,0,15639,18644,0,34283
202205,2022,5,0,22796,25458,0,48254
202206,2022,6,0,28175,29837,0,58012
202207,2022,7,0,31151,36223,0,67374
202208,2022,8,0,40301,45541,0,85842
202209,2022,9,0,30514,35681,1,66196
202210,2022,10,0,24511,26845,0,51356
202211,2022,11,0,6071,5212,0,11283
202212,2022,12,0,2641,2041,1,4683
202301,2023,1,0,1228,800,0,2028
202302,2023,2,0,1624,1231,1,2856
202304,2023,4,0,10923,13253,0,24176
