ID,Year,Month,Africa,North America,South America,Asia,Europe,Oceania,Other,Not specified,Africa,Total
200401,2004,1,0,13,7,5,608,10,0,0,0,643
200402,2004,2,3,30,31,3,1332,2,0,0,0,1401
200403,2004,3,0,66,34,15,2986,4,0,0,0,3105
200404,2004,4,12,320,223,27,14934,38,0,0,0,15554
200405,2004,5,19,593,487,24,15629,108,0,0,0,16860
200406,2004,6,26,763,527,53,17831,95,0,0,0,19295
200407,2004,7,31,679,444,67,30615,55,0,0,0,31891
200408,2004,8,21,282,429,59,44785,25,0,0,0,45601
200409,2004,9,17,574,472,52,21544,93,0,0,0,22752
200410,2004,10,24,689,526,44,13169,104,0,0,0,14556
200411,2004,11,1,129,322,17,3914,27,0,0,0,4410
200412,2004,12,0,46,73,12,3658,13,0,0,0,3802
200501,2005,1,0,21,13,2,229,4,0,0,0,269
201101,2011,1,4,23,25,74,516,2,0,0,0,644
201709,2017,9,188,3865,2111,968,34073,984,0,0,0,42189
201801,2018,1,0,87,141,257,1113,27,0,0,2,1627
201802,2018,2,0,82,138,285,1646,14,0,0,16,2181
201803,2018,3,0,638,401,304,9609,74,0,0,30,11056
201804,2018,4,0,1540,1001,773,18213,405,0,0,136,22068
201805,2018,5,0,4342,2680,1689,30602,1078,274,0,0,40665
201806,2018,6,0,5388,2231,1755,34943,1109,0,0,259,45685
201807,2018,7,0,3482,1293,1079,44197,514,0,0,302,50867
201808,2018,8,0,1750,1391,1094,55714,286,0,0,180,60415
201809,2018,9,0,4505,2627,1117,37204,1144,0,0,409,47006
201810,2018,10,0,4803,1911,1852,25496,1267,0,0,273,35602
201811,2018,11,0,701,477,724,5507,219,0,0,23,7651
201812,2018,12,0,199,126,303,1872,44,0,0,9,2553
201901,2019,1,0,105,123,269,1125,27,0,0,2,1651
201902,2019,2,0,99,106,359,1535,17,0,0,3,2119
201903,2019,3,0,543,311,307,6215,63,0,0,35,7474
201904,2019,4,0,1854,1381,999,26875,441,0,0,172,31722
201905,2019,5,0,5155,2713,2288,34991,1195,0,0,331,46673
201906,2019,6,0,5731,2662,2139,37020,1108,0,0,398,49058
201907,2019,7,0,3653,1398,1570,45856,564,0,0,278,53319
201908,2019,8,0,1932,1321,1502,57507,319,0,0,233,62814
201909,2019,9,0,5068,2443,1529,34940,1154,0,0,519,45653
201910,2019,10,0,5372,1972,2505,24871,1103,0,0,295,36118
201911,2019,11,0,740,597,1058,5617,212,0,0,50,8274
201912,2019,12,0,138,143,414,1938,56,0,0,21,2710
202001,2020,1,0,116,148,440,1248,44,0,0,5,2001
202002,2020,2,0,155,127,442,2325,18,0,0,9,3076
202003,2020,3,0,129,92,124,1586,15,0,0,2,1948
202006,2020,6,0,0,0,0,12,0,0,0,0,12
202007,2020,7,0,66,173,42,9455,4,0,0,12,9752
202008,2020,8,0,146,476,73,19074,18,0,0,25,19812
202009,2020,9,0,88,319,50,9955,15,0,0,14,10441
202010,2020,10,0,99,172,34,6089,11,0,0,13,6418
202011,2020,11,0,14,28,12,525,5,0,0,1,585
202012,2020,12,0,1,5,9,83,1,0,0,0,99
202101,2021,1,0,2,3,1,54,0,0,0,0,60
202102,2021,2,0,0,1,0,13,0,0,0,0,14
202103,2021,3,0,5,10,4,175,0,0,0,0,194
202104,2021,4,0,25,34,8,956,0,0,0,1,1024
202105,2021,5,0,48,100,23,4119,1,0,0,4,4295
202106,2021,6,0,229,298,46,14229,9,0,0,13,14824
202107,2021,7,0,1094,629,155,32004,29,0,0,52,33963
202108,2021,8,0,793,718,193,41800,17,0,1,53,43575
202109,2021,9,0,2307,1030,212,33836,31,0,0,47,37463
202110,2021,10,0,2747,1268,238,26840,38,0,0,39,31170
202111,2021,11,0,637,475,198,7756,9,0,0,19,9094
202112,2021,12,0,39,40,22,1084,5,0,0,3,1193
202201,2022,1,0,104,110,51,1347,5,0,0,0,1617
202202,2022,2,0,78,152,61,1735,5,0,0,3,2034
202203,2022,3,0,628,323,98,6302,19,0,0,19,7389
202204,2022,4,0,2311,1598,552,29635,101,0,0,86,34283
202205,2022,5,0,5477,3244,1208,37865,286,0,0,174,48254
202206,2022,6,0,6534,2472,999,47309,510,0,0,188,58012
202207,2022,7,0,4805,1721,847,59466,277,0,0,258,67374
202208,2022,8,0,2040,1708,833,80892,240,0,0,129,85842
202209,2022,9,0,6866,3318,1126,53939,642,0,0,305,66196
202210,2022,10,0,7272,2846,2249,38049,693,0,0,247,51356
202211,2022,11,0,1108,600,715,8668,167,0,0,25,11283
202212,2022,12,0,215,169,230,4014,49,0,1,5,4683
202301,2023,1,0,169,147,213,1470,24,0,0,5,2028
202302,2023,2,0,182,207,227,2200,31,0,0,9,2856
202304,2023,4,0,1692,1177,804,20206,219,0,0,78,24176
