,Year,Month,Identifier,TotalRecords,ID
0,2004,1,200401,643,200401
1,2004,2,200402,1401,200402
2,2004,3,200403,3105,200403
3,2004,4,200404,15554,200404
4,2004,5,200405,16860,200405
5,2004,6,200406,19295,200406
6,2004,7,200407,31891,200407
7,2004,8,200408,45601,200408
8,2004,9,200409,22752,200409
9,2004,10,200410,14556,200410
10,2004,11,200411,4410,200411
11,2004,12,200412,3802,200412
12,2005,1,200501,269,200501
13,2011,1,201101,644,201101
14,2017,9,201709,42189,201709
15,2018,1,201801,1627,201801
16,2018,2,201802,2181,201802
17,2018,3,201803,11056,201803
18,2018,4,201804,22068,201804
19,2018,5,201805,40665,201805
20,2018,6,201806,45685,201806
21,2018,7,201807,50867,201807
22,2018,8,201808,60415,201808
23,2018,9,201809,47006,201809
24,2018,10,201810,35602,201810
25,2018,11,201811,7651,201811
26,2018,12,201812,2553,201812
27,2019,1,201901,1651,201901
28,2019,2,201902,2119,201902
29,2019,3,201903,7474,201903
30,2019,4,201904,31721,201904
31,2019,5,201905,46672,201905
32,2019,6,201906,49057,201906
33,2019,7,201907,53319,201907
34,2019,8,201908,62814,201908
35,2019,9,201909,45649,201909
36,2019,10,201910,36115,201910
37,2019,11,201911,8237,201911
38,2019,12,201912,2710,201912
39,2020,1,202001,1999,202001
40,2020,2,202002,3076,202002
41,2020,3,202003,1710,202003
42,2020,6,202006,12,202006
43,2020,7,202007,9752,202007
44,2020,8,202008,19812,202008
45,2020,9,202009,10441,202009
46,2020,10,202010,6418,202010
47,2020,11,202011,586,202011
48,2020,12,202012,99,202012
49,2021,1,202101,60,202101
50,2021,2,202102,14,202102
51,2021,3,202103,194,202103
52,2021,4,202104,1024,202104
53,2021,5,202105,4295,202105
54,2021,6,202106,14824,202106
55,2021,7,202107,33963,202107
56,2021,8,202108,43575,202108
57,2021,9,202109,37463,202109
58,2021,10,202110,31170,202110
59,2021,11,202111,9094,202111
60,2021,12,202112,1193,202112
61,2022,1,202201,1617,202201
62,2022,2,202202,2034,202202
63,2022,3,202203,7389,202203
64,2022,4,202204,34283,202204
65,2022,5,202205,48254,202205
66,2022,6,202206,58012,202206
67,2022,7,202207,67374,202207
68,2022,8,202208,85842,202208
69,2022,9,202209,66196,202209
70,2022,10,202210,51356,202210
71,2022,11,202211,11283,202211
72,2022,12,202212,4683,202212
73,2023,1,202301,2028,202301
74,2023,2,202302,2856,202302
75,2023,4,202304,24176,202304
